SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
1,1.9,BLK 354 JURONG EAST AVENUE 1,J64,16707.915,36290.7825,MULTI-STOREY CAR PARK
2,4.5,BLK 215A/231 JURONG EAST STREET 21,J7,17395.7576,35966.8282,SURFACE CAR PARK
3,4.5,BLK 232/240 JURONG EAST STREET 21,J8,17789.8162,35843.6681,SURFACE CAR PARK
4,2.15,BLK 240C JURONG EAST AVENUE 1,J8M,17884.6894,35867.6356,MULTI-STOREY CAR PARK
5,4.5,BLK 716/718/721 BEDOK RESERVOIR ROAD,B59,38310.1233,35520.6463,SURFACE CAR PARK
6,4.5,BLK 722/725 BEDOK RESERVOIR ROAD,B60,38654.6406,35490.0933,SURFACE CAR PARK
7,5.4,"BLK 22/24, 59/63, 803/805 CHAI CHEE ROAD",CC4,37801.1879,34221.6662,SURFACE CAR PARK
8,4.5,BLK 464/463 CRAWFORD LANE,CR7,31229.7422,31984.8511,SURFACE CAR PARK
9,0,BLK 77 MARINE DRIVE,MP6S,36356.2562,31612.4137,SURFACE CAR PARK
10,2.15,BLK 257A SERANGOON CENTRAL DRIVE,SE51,32347.3644,37477.7718,MULTI-STOREY CAR PARK
11,0,BLK 115 BUKIT MERAH VIEW,HE14,26768.4355,29793.2871,SURFACE CAR PARK
12,3.8,BLK 433/443 TAMPINES STREET 43,T76,41168.0391,38026.2765,SURFACE CAR PARK
13,9.99,"BLK 1,2,6,7 HOUGANG AVENUE 3",HG1,34773.1311,38246.9455,SURFACE CAR PARK
14,2.15,BLK 476 UPPER SERANGOON VIEW,HG1C,35850.5915,39983.2046,MULTI-STOREY CAR PARK
15,2.15,BLK 376 HOUGANG STREET 32,HG1D,34765.7308,38421.4154,MULTI-STOREY CAR PARK
16,9.99,BLK 15-18 HOUGANG AVENUE 3,HG2,34533.3906,38329.9531,SURFACE CAR PARK
17,2.15,BLK 473 UPPER SERANGOON CRESCENT,HG2A,35501.0297,39817.8795,MULTI-STOREY CAR PARK
18,2.15,BLK 364 / 365 UPPER SERANGOON RD,HG2C,35112.2965,39125.1711,MULTI-STOREY CAR PARK
19,2.15,BLK 212A BOON LAY PLACE,BL19,14648.3419,36766.7841,MULTI-STOREY CAR PARK
20,2.15,180 BOON LAY DRIVE,BL20,14072.9303,36691.7296,MULTI-STOREY CAR PARK
21,2.15,BLK 303 ANCHORVALE LINK,SK37,34375.646,41042.6153,MULTI-STOREY CAR PARK
22,2,BLK 84C LORONG 2 TOA PAYOH,TPM5,29560.4287,35333.5642,MULTI-STOREY CAR PARK
23,0,BLK 412/414 PANDAN GARDENS,P16,18411.9297,33571.571,SURFACE CAR PARK
24,4.5,BLK 109/111 TO 115 LORONG 1 TOA PAYOH,TP31,29396.9527,35917.6634,SURFACE CAR PARK
25,4.5,BLK 238/246 SERANGOON AVENUE 3,SE15,32016.5748,37221.793,SURFACE CAR PARK
26,0,BLK 39 TANGLIN HALT ROAD,Q51,24187.6,31144.34,SURFACE CAR PARK
27,0,BLK 8 FRENCH ROAD,MR6,31029.1022,32165.4648,SURFACE CAR PARK
28,4.5,BLK 2 UPPER ALJUNIED LANE,UA6,33101.2667,35157.3013,SURFACE CAR PARK
29,4.5,BLK 101/108 PASIR RIS STREET 12,PR1,41875.5357,38818.4836,SURFACE CAR PARK
30,2.15,BLK 786A WOODLANDS DRIVE 60,W81,24296.7171,47514.7036,MULTI-STOREY CAR PARK
31,5.4,BLK 717/730 YISHUN STREET 71,Y11,27625.6289,45280.5234,SURFACE CAR PARK
32,2.15,BLK 52A TELOK BLANGAH DRIVE,TBM6,25528.5116,28424.2252,MULTI-STOREY CAR PARK
33,4.5,BLK 1/2/3/4/6 TELOK BLANGAH CRESCENT,TB1,26359.0527,28989.3284,SURFACE CAR PARK
34,0,BLK 8-10 TELOK BLANGAH CRESCENT,TB2,26444.6627,28896.6707,SURFACE CAR PARK
35,2.15,BLK 102 CANBERRA STREET,SB44,27863.2115,48161.217,MULTI-STOREY CAR PARK
36,2.15,BLK 453 FERNVALE ROAD,SK93,32681.0825,41761.6732,MULTI-STOREY CAR PARK
37,0,BLK 827A TAMPINES STREET 81,T56,39079.6727,36911.3845,SURFACE CAR PARK
38,0,BLK 136/138 TAMPINES STREET 11,T7,40518.5548,36401.0077,SURFACE CAR PARK
39,2.15,BLK 136A TAMPINES STREET 11,T7A,40498.7308,36344.861,MULTI-STOREY CAR PARK
40,1.9,BLK 125A KIM TIAN ROAD,KTM,27480.5391,29500.8137,MULTI-STOREY CAR PARK
41,2.15,BLK 201 PUNGGOL FIELD,PL23,35831.2383,42404.7448,MULTI-STOREY CAR PARK
42,2,BLK 710A PASIR RIS STREET 72,PM36,39546.2838,40486.3671,MULTI-STOREY CAR PARK
43,2.15,BLK 51 HAVELOCK ROAD,HVM,27376.7446,30252.7338,MULTI-STOREY CAR PARK
